uri,reg:identifier,reg:status,dc:title,rdf:type,skos:definition@bg,skos:definition@en,skos:definition@es,skos:definition@fr,skos:definition@it,skos:definition@lv,skos:definition@ru,skos:definition@sr,skos:definition@zh,skos:hasTopConcept,skos:inScheme,skos:prefLabel@bg,skos:prefLabel@en,skos:prefLabel@es,skos:prefLabel@fr,skos:prefLabel@hr,skos:prefLabel@it,skos:prefLabel@lv,skos:prefLabel@ru,skos:prefLabel@sr,skos:prefLabel@zh,skos:topConceptOf
isbd:terms/contentqualification/motion,,,ISBD Content Qualification of Motion,skos:ConceptScheme,,,,,,,,,,isbd:terms/contentqualification/motion/T1001,,,,,,,,,,,,
isbd:terms/contentqualification/motion/T1001,metadataregistry.org:concepts/1223,metadataregistry.org:uri/RegStatus/1001,,skos:Concept,"изображение, чието съдържание се възприема като движещо се, обикновено чрез бърза смяна на изображения.","Image content that is perceived to be in motion, usually by means of a quick succession of images.","Contenido de imagen que se percibe en movimiento, generalmente por medio de una sucesión rápida de imágenes.","Contenu image perçu comme étant en mouvement, habituellement rendu au moyen d’une succession rapide d’images.","Il contenuto di un’immagine che è percepita come in moto, di solito per una rapida successione di immagini.","Attēla saturs, uztverams kustībā, parasti ar ātru attēlu
nomaiņu.","Изображение, содержание которого воспринимается в движении, обычно посредством быстрой смены изображений.","Slikovni sadržaj koji treba da omogući doživljaj pokreta, obično brzim nizanjem slika jedne za drugom.",被感觉到运动的图像内容，通常是以前后相继一系列图像的方式。,,isbd:terms/contentqualification/motion,движещо се,moving,en movimiento,animée,pokretna,in movimento,kustīgs,движущееся,pokretni,运动,isbd:terms/contentqualification/motion
isbd:terms/contentqualification/motion/T1002,metadataregistry.org:concepts/1224,metadataregistry.org:uri/RegStatus/1001,,skos:Concept,"изображение, чието съдържание се възприема като статично.",Image content that is perceived to be static.,Contenido de imagen que se percibe como estática.,Contenu image perçu comme étant statique.,Il contenuto di un’immagine che è percepita come statica.,"Attēla saturs, uztverams kā statisks.","Изображение, содержание которого воспринимается как статическое.",Slikovni sadržaj koji treba da se doživi kao statičan.,被感觉到静止的图像内容。,,isbd:terms/contentqualification/motion,неподвижно,Image content that is perceived to be static.,fija,fixe,nepokretna,fissa,nekustīgs,неподвижное,nepokretni,静止,isbd:terms/contentqualification/motion
metadataregistry.org:uri/RegStatus/1001,,,,skos:Concept,,,,,,,,,,,,,Published,,,,,,,,,
