uri,reg:identifier,reg:status,rdf:type[0],skos:definition@bg[0],skos:definition@en[0],skos:definition@es[0],skos:definition@fr[0],skos:definition@it[0],skos:definition@lv[0],skos:definition@ru[0],skos:definition@sr[0],skos:definition@zh[0],skos:inScheme[0],skos:prefLabel@bg,skos:prefLabel@en,skos:prefLabel@es,skos:prefLabel@fr,skos:prefLabel@hr,skos:prefLabel@it,skos:prefLabel@lv,skos:prefLabel@ru,skos:prefLabel@sr,skos:prefLabel@zh,skos:topConceptOf[0]
dimensionality:T1001,metadataregistry.org:concepts/1225,metadataregistry.org:uri/RegStatus/1001,skos:Concept,"съдържание на изображение, предназначено да се възприема в две измерения.",Image content that is intended to be perceived in two dimensions.,Contenido de imagen para que se perciba en dos dimensiones.,Contenu image prévu pour être perçu en deux dimensions.,Il contenuto di un’immagine che si intende far percepire in due dimensioni.,"Attēla saturs, uztverams divās dimensijās.","Изображение, содержание которого предназначено для восприятия в двух измерениях.",Slikovni sadržaj koji treba da se doživi u dve dimenzije.,设计以二维被感知的图像内容。,contentqualification:dimensionality,двуизмерно,2-dimensional,bidimensional,bidimensionnelle,dvodimenzionalna,bidimensionale,divdimensiju,двухмерное,dvodimenzionalni,2维,contentqualification:dimensionality
dimensionality:T1002,metadataregistry.org:concepts/1226,metadataregistry.org:uri/RegStatus/1001,skos:Concept,"съдържание на изображение, предназначено да се възприема в три измерения.",Image content that is intended to be perceived in three dimensions.,Contenido de imagen para que se perciba en tres dimensiones.,Contenu image prévu pour être perçu en trois dimensions.,Il contenuto di un’immagine che si intende far percepire in tre dimensioni.,"Attēla saturs, uztverams trīs dimensijās.","Изображение, содержание которого предназначено для восприятия в трех измерениях.",Slikovni sadržaj koji treba da se doživi u tri dimenzije.,设计以三维被感知的图像内容。,contentqualification:dimensionality,триизмерно,3-dimensional,tridimensional,tridimensionnelle,trodimenzionalna,tridimensionale,trīsdimensiju,трехмерное,trodimenzionalni,3维,contentqualification:dimensionality
